,역사코드,역명,호선,환승
0,150,서울역,1,2
1,426,서울역,4,2
2,151,시청,1,2
3,201,시청,2,2
4,152,종각,1,1
5,153,종로3가,1,3
6,319,종로3가,3,3
7,2535,종로3가,5,3
8,154,종로5가,1,1
9,155,동대문,1,2
10,421,동대문,4,2
11,156,신설동,1,2
12,246,신설동,2,2
13,157,제기동,1,1
14,158,청량리(서울시립대입구),1,1
15,159,동묘앞,1,2
16,2637,동묘앞,6,2
17,202,을지로입구,2,1
18,203,을지로3가,2,2
19,320,을지로3가,3,2
20,204,을지로4가,2,2
21,2536,을지로4가,5,2
22,205,동대문역사문화공원(DDP),2,3
23,422,동대문역사문화공원(DDP),4,3
24,2537,동대문역사문화공원(DDP),5,3
25,206,신당,2,2
26,2636,신당,6,2
27,207,상왕십리,2,1
28,208,왕십리(성동구청),2,2
29,2541,왕십리(성동구청),5,2
30,209,한양대,2,1
31,210,뚝섬,2,1
32,211,성수,2,1
33,212,건대입구,2,2
34,2729,건대입구,7,2
35,213,구의(광진구청),2,1
36,214,강변(동서울터미널),2,1
37,215,잠실나루,2,1
38,216,잠실(송파구청),2,2
39,2815,잠실(송파구청),8,2
40,217,잠실새내,2,1
41,218,종합운동장,2,1
42,219,삼성(무역센터),2,1
43,220,선릉,2,1
44,221,역삼,2,1
45,222,강남,2,1
46,223,교대(법원.검찰청),2,2
47,330,교대(법원.검찰청),3,2
48,224,서초,2,1
49,225,방배,2,1
50,226,사당,2,2
51,433,사당,4,2
52,227,낙성대(강감찬),2,1
53,228,서울대입구(관악구청),2,1
54,229,봉천,2,1
55,230,신림,2,1
56,231,신대방,2,1
57,232,구로디지털단지,2,1
58,233,대림(구로구청),2,2
59,2746,대림(구로구청),7,2
60,234,신도림,2,1
61,235,문래,2,1
62,236,영등포구청,2,2
63,2524,영등포구청,5,2
64,237,당산,2,1
65,238,합정,2,2
66,2623,합정,6,2
67,239,홍대입구,2,1
68,240,신촌,2,1
69,241,이대,2,1
70,242,아현,2,1
71,243,충정로(경기대입구),2,2
72,2532,충정로(경기대입구),5,2
73,244,용답,2,1
74,245,신답,2,1
75,247,도림천,2,1
76,248,양천구청,2,1
77,249,신정네거리,2,1
78,250,용두(동대문구청),2,1
79,309,지축,3,1
80,310,구파발,3,1
81,311,연신내,3,1
82,312,불광,3,2
83,2613,불광,6,2
84,313,녹번,3,1
85,314,홍제,3,1
86,315,무악재,3,1
87,316,독립문,3,1
88,317,경복궁(정부서울청사),3,1
89,318,안국,3,1
90,322,동대입구,3,1
91,323,약수,3,2
92,2634,약수,6,2
93,324,금호,3,1
94,325,옥수,3,1
95,326,압구정,3,1
96,327,신사,3,1
97,328,잠원,3,1
98,329,고속터미널,3,2
99,2736,고속터미널,7,2
100,331,남부터미널(예술의전당),3,1
101,332,양재(서초구청),3,1
102,333,매봉,3,1
103,334,도곡,3,1
104,335,대치,3,1
105,336,학여울,3,1
106,337,대청,3,1
107,338,일원,3,1
108,339,수서,3,1
109,340,가락시장,3,2
110,2818,가락시장,8,2
111,341,경찰병원,3,1
112,342,오금,3,2
113,2558,오금,5,2
114,409,당고개,4,1
115,410,상계,4,1
116,411,노원,4,2
117,2715,노원,7,2
