역코드,호선,역이름
150,1호선호선,서울역
151,1호선호선,시청
152,1호선호선,종각
153,1호선호선,종로3가
154,1호선호선,종로5가
155,1호선호선,동대문
156,1호선호선,신설동
157,1호선호선,제기동
158,1호선호선,청량리(서울시립대입구)
159,1호선호선,동묘앞
202,2호선호선,을지로입구
203,2호선호선,을지로3가
204,2호선호선,을지로4가
205,2호선호선,동대문역사문화공원(DDP)
206,2호선호선,신당
207,2호선호선,상왕십리
208,2호선호선,왕십리(성동구청)
209,2호선호선,한양대
210,2호선호선,뚝섬
211,2호선호선,성수
212,2호선호선,건대입구
213,2호선호선,구의(광진구청)
214,2호선호선,강변(동서울터미널)
215,2호선호선,잠실나루
216,2호선호선,잠실(송파구청)
217,2호선호선,잠실새내
218,2호선호선,종합운동장
219,2호선호선,삼성(무역센터)
220,2호선호선,선릉
221,2호선호선,역삼
222,2호선호선,강남
223,2호선호선,교대(법원.검찰청)
224,2호선호선,서초
225,2호선호선,방배
226,2호선호선,사당
227,2호선호선,낙성대(강감찬)
228,2호선호선,서울대입구(관악구청)
229,2호선호선,봉천
230,2호선호선,신림
231,2호선호선,신대방
232,2호선호선,구로디지털단지
233,2호선호선,대림(구로구청)
234,2호선호선,신도림
235,2호선호선,문래
236,2호선호선,영등포구청
237,2호선호선,당산
238,2호선호선,합정
239,2호선호선,홍대입구
240,2호선호선,신촌
241,2호선호선,이대
242,2호선호선,아현
243,2호선호선,충정로(경기대입구)
244,2호선호선,용답
245,2호선호선,신답
247,2호선호선,도림천
248,2호선호선,양천구청
249,2호선호선,신정네거리
250,2호선호선,용두(동대문구청)
309,3호선호선,지축
310,3호선호선,구파발
311,3호선호선,연신내
312,3호선호선,불광
313,3호선호선,녹번
314,3호선호선,홍제
315,3호선호선,무악재
316,3호선호선,독립문
317,3호선호선,경복궁(정부서울청사)
318,3호선호선,안국
322,3호선호선,동대입구
323,3호선호선,약수
324,3호선호선,금호
325,3호선호선,옥수
326,3호선호선,압구정
327,3호선호선,신사
328,3호선호선,잠원
329,3호선호선,고속터미널
331,3호선호선,남부터미널(예술의전당)
332,3호선호선,양재(서초구청)
333,3호선호선,매봉
334,3호선호선,도곡
335,3호선호선,대치
336,3호선호선,학여울
337,3호선호선,대청
338,3호선호선,일원
339,3호선호선,수서
340,3호선호선,가락시장
341,3호선호선,경찰병원
342,3호선호선,오금
409,4호선호선,당고개
410,4호선호선,상계
411,4호선호선,노원
412,4호선호선,창동
413,4호선호선,쌍문
414,4호선호선,수유(강북구청)
415,4호선호선,미아(서울사이버대학)
416,4호선호선,미아사거리
417,4호선호선,길음
418,4호선호선,성신여대입구(돈암)
419,4호선호선,한성대입구(삼선교)
420,4호선호선,혜화
423,4호선호선,충무로
424,4호선호선,명동
425,4호선호선,회현(남대문시장)
427,4호선호선,숙대입구(갈월)
428,4호선호선,삼각지
429,4호선호선,신용산
430,4호선호선,이촌(국립중앙박물관)
431,4호선호선,동작(현충원)
432,4호선호선,총신대입구(이수)
434,4호선호선,남태령
2511,5호선호선,방화
2512,5호선호선,개화산
2513,5호선호선,김포공항
2514,5호선호선,송정
2515,5호선호선,마곡
2516,5호선호선,발산
2517,5호선호선,우장산
2518,5호선호선,화곡
2519,5호선호선,까치산
2520,5호선호선,신정(은행정)
2521,5호선호선,목동
2522,5호선호선,오목교(목동운동장앞)
2523,5호선호선,양평
2525,5호선호선,영등포시장
2526,5호선호선,신길
2527,5호선호선,여의도
2528,5호선호선,여의나루
2529,5호선호선,마포
2530,5호선호선,공덕
2531,5호선호선,애오개
2533,5호선호선,서대문
2534,5호선호선,광화문(세종문화회관)
2538,5호선호선,청구
2539,5호선호선,신금호
2540,5호선호선,행당
2542,5호선호선,마장
2543,5호선호선,답십리
2544,5호선호선,장한평
2545,5호선호선,군자(능동)
2546,5호선호선,아차산(어린이대공원후문)
2547,5호선호선,광나루(장신대)
2548,5호선호선,천호(풍납토성)
2549,5호선호선,강동
2550,5호선호선,길동
2551,5호선호선,굽은다리(강동구민회관앞)
2552,5호선호선,명일
2553,5호선호선,고덕
2554,5호선호선,상일동
2555,5호선호선,둔촌동
2556,5호선호선,올림픽공원(한국체대)
2557,5호선호선,방이
2559,5호선호선,개롱
2560,5호선호선,거여
2561,5호선호선,마천
2562,5호선호선,강일
2563,5호선호선,미사
2564,5호선호선,하남풍산
2565,5호선호선,하남시청(덕풍·신장)
2566,5호선호선,하남검단산
2611,6호선호선,응암
2612,6호선호선,역촌
2614,6호선호선,독바위
2616,6호선호선,구산
2617,6호선호선,새절(신사)
2618,6호선호선,증산(명지대앞)
2619,6호선호선,디지털미디어시티
2620,6호선호선,월드컵경기장(성산)
2621,6호선호선,마포구청
2622,6호선호선,망원
2624,6호선호선,상수
2625,6호선호선,광흥창(서강)
2626,6호선호선,대흥(서강대앞)
2628,6호선호선,효창공원앞
2630,6호선호선,녹사평(용산구청)
2631,6호선호선,이태원
2632,6호선호선,한강진
2633,6호선호선,버티고개
2638,6호선호선,창신
2639,6호선호선,보문
2640,6호선호선,안암(고대병원앞)
2641,6호선호선,고려대(종암)
2642,6호선호선,월곡(동덕여대)
2643,6호선호선,상월곡(한국과학기술연구원)
2644,6호선호선,돌곶이
2645,6호선호선,석계
2646,6호선호선,태릉입구
2647,6호선호선,화랑대(서울여대입구)
2648,6호선호선,봉화산(서울의료원)
2711,7호선호선,장암
2712,7호선호선,도봉산
2713,7호선호선,수락산
2714,7호선호선,마들
2716,7호선호선,중계
2717,7호선호선,하계
2718,7호선호선,공릉(서울과학기술대)
2720,7호선호선,먹골
2721,7호선호선,중화
2722,7호선호선,상봉(시외버스터미널)
2723,7호선호선,면목
2724,7호선호선,사가정
2725,7호선호선,용마산(용마폭포공원)
2726,7호선호선,중곡
2728,7호선호선,어린이대공원(세종대)
2730,7호선호선,뚝섬유원지
2731,7호선호선,청담
2732,7호선호선,강남구청
2733,7호선호선,학동
2734,7호선호선,논현
2735,7호선호선,반포
2737,7호선호선,내방
2738,7호선호선,이수
2739,7호선호선,남성
2740,7호선호선,숭실대입구(살피재)
2741,7호선호선,상도
2742,7호선호선,장승배기
2743,7호선호선,신대방삼거리
2744,7호선호선,보라매
2745,7호선호선,신풍
2747,7호선호선,남구로
2748,7호선호선,가산디지털단지
2749,7호선호선,철산
2750,7호선호선,광명사거리
2751,7호선호선,천왕
2752,7호선호선,온수(성공회대입구)
2811,8호선호선,암사
2813,8호선호선,강동구청
2814,8호선호선,몽촌토성(평화의문)
2816,8호선호선,석촌
2817,8호선호선,송파
2819,8호선호선,문정
2820,8호선호선,장지
2821,8호선호선,복정
2822,8호선호선,산성
