역사코드,역명,호선,환승역수,latitude,longitude
150,서울역,1,2,37.5546788388674,126.970606917394
426,서울역,4,2,37.5546788388674,126.970606917394
151,시청역,1,2,37.56534539636417,126.97719821079865
201,시청역,2,2,37.56534539636417,126.97719821079865
152,종각역,1,1,37.570227990912244,126.98315081716676
153,종로3가역,1,3,37.570420844523,126.992153252476
319,종로3가역,3,3,37.570420844523,126.992153252476
2535,종로3가역,5,3,37.570420844523,126.992153252476
154,종로5가역,1,1,37.57097610838373,127.00153834521934
155,동대문역,1,2,37.571669405802616,127.01063381083677
421,동대문역,4,2,37.571669405802616,127.01063381083677
156,신설동역,1,2,37.5760299683175,127.024456700382
246,신설동역,2,2,37.5760299683175,127.024456700382
157,제기동역,1,1,37.57817349658033,127.03494949507864
158,청량리역,1,1,37.580160149330815,127.04789833684475
159,동묘앞역,1,2,37.5732166600283,127.016364227103
2637,동묘앞역,6,2,37.5732166600283,127.016364227103
202,을지로입구역,2,1,37.566035517712955,126.9821953112953
203,을지로3가역,2,2,37.56629149790628,126.99098443539428
320,을지로3가역,3,2,37.56629149790628,126.99098443539428
204,을지로4가역,2,2,37.5666405038268,126.997632059113
2536,을지로4가역,5,2,37.5666405038268,126.997632059113
205,동대문역사문화공원역,2,3,37.56566440553802,127.00900417014896
422,동대문역사문화공원역,4,3,37.56566440553802,127.00900417014896
2537,동대문역사문화공원역,5,3,37.56566440553802,127.00900417014896
206,신당역,2,2,37.5656730531732,127.019477533278
2636,신당역,6,2,37.5656730531732,127.019477533278
207,상왕십리역,2,1,37.56443666620397,127.02927241035283
208,왕십리역,2,2,37.561268363317176,127.03710337610202
2541,왕십리역,5,2,37.561268363317176,127.03710337610202
209,한양대역,2,1,37.5557159860408,127.043639802768
210,뚝섬역,2,1,37.547241554679,127.04738727881
211,성수역,2,1,37.5445888153751,127.056066999327
212,건대입구역,2,2,37.54040751726388,127.06920291650829
2729,건대입구역,7,2,37.54040751726388,127.06920291650829
213,구의역,2,1,37.5371752725594,127.086180837795
214,강변역,2,1,37.5351180385975,127.094741101863
215,잠실나루역,2,1,37.5207124124456,127.103808749487
216,잠실역,2,2,37.51331105877401,127.10023101886318
2815,잠실역,8,2,37.51331105877401,127.10023101886318
217,잠실새내역,2,1,37.5116263587296,127.086314327913
218,종합운동장역,2,1,37.5111446632705,127.073849447402
219,삼성역,2,1,37.508822740225305,127.06302321147605
220,선릉역,2,1,37.504497373023206,127.04896282498558
221,역삼역,2,1,37.5006744185994,127.03646946847
222,강남역,2,1,37.49808633653005,127.02800140627488
223,교대역,2,2,37.4927431676548,127.013867969161
330,교대역,3,2,37.4927431676548,127.013867969161
224,서초역,2,1,37.4918499338918,127.007662120039
225,방배역,2,1,37.4814561268152,126.997553345516
226,사당역,2,2,37.47656223234824,126.98155858357366
433,사당역,4,2,37.47656223234824,126.98155858357366
227,낙성대역,2,1,37.4770932409965,126.963523905001
