number,title,link
1,"업스테이지-AWS, LLM '솔라' 글로벌 영업 기회 발굴",https://n.news.naver.com/mnews/article/011/0004359058
2,"도트 공주들 구하기, 사전예약 앱 '모비'와 컬래버 이벤트 진행",https://n.news.naver.com/mnews/article/347/0000180945
3,[창간 16주년 기획: 버튜버 전성시대①] BJ보다 버튜버! 버튜버가 뜬다,https://n.news.naver.com/mnews/article/347/0000180942
4,[창간 16주년 기획] 캄보디아 국민 메신저 자리 노리는 유니온모바일 '앙코르 챗',https://n.news.naver.com/mnews/article/347/0000180941
5,"""지속가능한 플레이""…카카오게임즈, 두 번째 ESG 보고서 발간",https://n.news.naver.com/mnews/article/421/0007629440
6,"넷마블 '신의 탑: 새로운 세계', 출시 1주년 맞이 바캉스 대축제 사전등록 오픈",https://n.news.naver.com/mnews/article/347/0000180939
7,"넥슨 'FC온라인', 여름방학 구단강화 프로젝트 '무리뉴의 여정' 개시",https://n.news.naver.com/mnews/article/347/0000180938
8,"SKT, AI로 범죄 예방한다…치안정책연구소와 기술 협약",https://n.news.naver.com/mnews/article/241/0003360704
9,하이브표 '버추얼 걸그룹' 나왔다…'신디에잇' 데뷔,https://n.news.naver.com/mnews/article/003/0012634205
10,"게임물관리위원회, 혈액난 극복 위한 ‘사랑의 헌혈’ 실천",https://n.news.naver.com/mnews/article/092/0002336336
