,역명,고유역번호(외부역코드),승하차구분,역_이름코드
0,서울역,150,승차,서울역_150
1,시청,151,승차,시청_151
2,종각,152,승차,종각_152
3,종로3가,153,승차,종로3가_153
4,종로5가,154,승차,종로5가_154
5,동대문,155,승차,동대문_155
6,신설동,156,승차,신설동_156
7,제기동,157,승차,제기동_157
8,청량리(서울시립대입구),158,승차,청량리(서울시립대입구)_158
9,동묘앞,159,승차,동묘앞_159
10,시청,201,승차,시청_201
11,을지로입구,202,승차,을지로입구_202
12,을지로3가,203,승차,을지로3가_203
13,을지로4가,204,승차,을지로4가_204
14,동대문역사문화공원(DDP),205,승차,동대문역사문화공원(DDP)_205
15,신당,206,승차,신당_206
16,상왕십리,207,승차,상왕십리_207
17,왕십리(성동구청),208,승차,왕십리(성동구청)_208
18,한양대,209,승차,한양대_209
19,뚝섬,210,승차,뚝섬_210
20,성수,211,승차,성수_211
21,건대입구,212,승차,건대입구_212
22,구의(광진구청),213,승차,구의(광진구청)_213
23,강변(동서울터미널),214,승차,강변(동서울터미널)_214
24,잠실나루,215,승차,잠실나루_215
25,잠실(송파구청),216,승차,잠실(송파구청)_216
26,잠실새내,217,승차,잠실새내_217
27,종합운동장,218,승차,종합운동장_218
28,삼성(무역센터),219,승차,삼성(무역센터)_219
29,선릉,220,승차,선릉_220
30,역삼,221,승차,역삼_221
31,강남,222,승차,강남_222
32,교대(법원.검찰청),223,승차,교대(법원.검찰청)_223
33,서초,224,승차,서초_224
34,방배,225,승차,방배_225
35,사당,226,승차,사당_226
36,낙성대(강감찬),227,승차,낙성대(강감찬)_227
37,서울대입구(관악구청),228,승차,서울대입구(관악구청)_228
38,봉천,229,승차,봉천_229
39,신림,230,승차,신림_230
40,신대방,231,승차,신대방_231
41,구로디지털단지,232,승차,구로디지털단지_232
42,대림(구로구청),233,승차,대림(구로구청)_233
43,신도림,234,승차,신도림_234
44,문래,235,승차,문래_235
45,영등포구청,236,승차,영등포구청_236
46,당산,237,승차,당산_237
47,합정,238,승차,합정_238
48,홍대입구,239,승차,홍대입구_239
49,신촌,240,승차,신촌_240
50,이대,241,승차,이대_241
51,아현,242,승차,아현_242
52,충정로(경기대입구),243,승차,충정로(경기대입구)_243
53,용답,244,승차,용답_244
54,신답,245,승차,신답_245
55,신설동,246,승차,신설동_246
56,도림천,247,승차,도림천_247
57,양천구청,248,승차,양천구청_248
58,신정네거리,249,승차,신정네거리_249
59,용두(동대문구청),250,승차,용두(동대문구청)_250
60,지축,309,승차,지축_309
61,구파발,310,승차,구파발_310
62,연신내,311,승차,연신내_311
63,불광,312,승차,불광_312
64,녹번,313,승차,녹번_313
65,홍제,314,승차,홍제_314
66,무악재,315,승차,무악재_315
67,독립문,316,승차,독립문_316
68,경복궁(정부서울청사),317,승차,경복궁(정부서울청사)_317
69,안국,318,승차,안국_318
70,종로3가,319,승차,종로3가_319
71,을지로3가,320,승차,을지로3가_320
72,동대입구,322,승차,동대입구_322
73,약수,323,승차,약수_323
74,금호,324,승차,금호_324
75,옥수,325,승차,옥수_325
76,압구정,326,승차,압구정_326
77,신사,327,승차,신사_327
78,잠원,328,승차,잠원_328
79,고속터미널,329,승차,고속터미널_329
80,교대(법원.검찰청),330,승차,교대(법원.검찰청)_330
81,남부터미널(예술의전당),331,승차,남부터미널(예술의전당)_331
