역사코드,역이름,호선,환승역수
150,서울역,1,2
426,서울역,4,2
151,시청,1,2
201,시청,2,2
152,종각,1,1
153,종로3가,1,3
319,종로3가,3,3
2535,종로3가,5,3
154,종로5가,1,1
155,동대문,1,2
421,동대문,4,2
156,신설동,1,2
246,신설동,2,2
157,제기동,1,1
158,청량리,1,1
159,동묘앞,1,2
2637,동묘앞,6,2
202,을지로입구,2,1
203,을지로3가,2,2
320,을지로3가,3,2
204,을지로4가,2,2
2536,을지로4가,5,2
205,동대문역사문화공원,2,3
422,동대문역사문화공원,4,3
2537,동대문역사문화공원,5,3
206,신당,2,2
2636,신당,6,2
207,상왕십리,2,1
208,왕십리,2,2
2541,왕십리,5,2
209,한양대,2,1
210,뚝섬,2,1
211,성수,2,1
212,건대입구,2,2
2729,건대입구,7,2
213,구의,2,1
214,강변,2,1
215,잠실나루,2,1
216,잠실,2,2
2815,잠실,8,2
217,잠실새내,2,1
218,종합운동장,2,1
219,삼성,2,1
220,선릉,2,1
221,역삼,2,1
222,강남,2,1
223,교대,2,2
330,교대,3,2
224,서초,2,1
225,방배,2,1
226,사당,2,2
433,사당,4,2
227,낙성대,2,1
228,서울대입구,2,1
229,봉천,2,1
230,신림,2,1
231,신대방,2,1
232,구로디지털단지,2,1
233,대림,2,2
2746,대림,7,2
234,신도림,2,1
235,문래,2,1
236,영등포구청,2,2
2524,영등포구청,5,2
237,당산,2,1
238,합정,2,2
2623,합정,6,2
239,홍대입구,2,1
240,신촌,2,1
241,이대,2,1
242,아현,2,1
243,충정로,2,2
2532,충정로,5,2
244,용답,2,1
245,신답,2,1
247,도림천,2,1
248,양천구청,2,1
249,신정네거리,2,1
250,용두,2,1
309,지축,3,1
310,구파발,3,1
311,연신내,3,2
2615,연신내,6,2
312,불광,3,2
2613,불광,6,2
313,녹번,3,1
314,홍제,3,1
315,무악재,3,1
316,독립문,3,1
317,경복궁,3,1
318,안국,3,1
322,동대입구,3,1
323,약수,3,2
2634,약수,6,2
324,금호,3,1
325,옥수,3,1
326,압구정,3,1
