y,x
1359,301
1355,639
1713,1138
2050,1454
2051,1639
2053,1822
2052,1971
2052,2118
2063,2258
2051,2363
2053,2435
2081,2490
2201,2538
2313,2588
2486,2665
2928,2855
2738,2945
2688,2972
2625,2993
2532,3030
2396,3104
2157,3216
2044,3288
2046,3363
2050,3446
2221,3613
2226,3676
2377,3766
2402,3826
2403,3888
2390,3938
2234,4004
2223,4140
2218,4212
2229,4325
2223,4482
2222,4635
2233,4751
2484,5009
2477,5110
2478,5197
2483,5299
2475,5387
2475,5468
2476,5549
2479,5638
2479,5730
2481,5819
2480,5951
2674,5103
2964,5233
3124,5299
3309,5382
3313,5547
3311,5730
3317,5940
