,Press,Title,Link
0,세계일보,"檢, ‘제3자 뇌물 혐의’ 이재명 기소… 李 ""검찰 창작 수준 갈수록 떨어져""",https://n.news.naver.com/article/022/0003941111?ntype=RANKING
1,세계일보,"“나라 구하다 죽었냐” 이태원 참사 막말 김미나, 의원직 유지할까?",https://n.news.naver.com/article/022/0003941048?ntype=RANKING
2,세계일보,[단독] 미국 출시도 안된 제품이 ‘미국 1위’? 뷰즈 전자담배 광고에 소비자 혼란,https://n.news.naver.com/article/022/0003941117?ntype=RANKING
3,세계일보,한국 골프장 카트가 세계서 가장 비싼 렌터카? [수민이가 화났어요],https://n.news.naver.com/article/022/0003941149?ntype=RANKING
4,세계일보,김건희 여사 “진돗개 닮았다” 말에…국견 선물한 투르크 최고지도자,https://n.news.naver.com/article/022/0003941006?ntype=RANKING
5,KBS,제보 영상으로 보는 당시 지진 상황,https://n.news.naver.com/article/056/0011739658?ntype=RANKING
6,KBS,유치원생 하원 직전 옥상 구조물 ‘와르르’…“아찔했던 순간” [제보],https://n.news.naver.com/article/056/0011739690?ntype=RANKING
7,KBS,"이재명, 4개 재판 동시다발 진행…일주일 4번 재판 받을 수도",https://n.news.naver.com/article/056/0011739749?ntype=RANKING
8,KBS,‘등산로 살인’ 최윤종 2심도 무기징역…“피해자 공포 헤아릴 수 없어”,https://n.news.naver.com/article/056/0011739735?ntype=RANKING
9,KBS,부안군 4.8 규모 지진…유감신고 잇따라,https://n.news.naver.com/article/056/0011739746?ntype=RANKING
10,한국경제,"""기름 나오는 것도 부러운데…"" 산유국에 또 '잭팟' 터졌다",https://n.news.naver.com/article/015/0004995708?ntype=RANKING
11,한국경제,"""여기가 밀양 성폭행 가해자 집""…김해 아파트 '발칵'",https://n.news.naver.com/article/015/0004995914?ntype=RANKING
12,한국경제,"박세리 가족애 남달랐는데 어쩌다…변호사 ""사건 언급 어렵다""",https://n.news.naver.com/article/015/0004995872?ntype=RANKING
13,한국경제,"""와이프 차로 딱 좋아""…올해만 '5000대' 불티나게 팔렸다",https://n.news.naver.com/article/015/0004995784?ntype=RANKING
14,한국경제,"""일론 머스크, 직원들과 성관계 하더니…"" 충격 폭로 나왔다",https://n.news.naver.com/article/015/0004995877?ntype=RANKING
15,MBC,"故 채 상병 모친 ""박 대령 명예회복과 선처 부탁‥1주기 전에는 진상규명""",https://n.news.naver.com/article/214/0001354368?ntype=RANKING
16,MBC,"""졸렬한 임성근, 국군의 수치‥尹 왜 저런 자 감싸나"" 맹폭",https://n.news.naver.com/article/214/0001354366?ntype=RANKING
17,MBC,"""진실 밝히고 박정훈 명예회복""‥아들 순직 1년 만에 '첫 입장'",https://n.news.naver.com/article/214/0001354416?ntype=RANKING
18,MBC,'동해 가스전 발표' 주가 뛰자‥가스공사 임원들 주식 매도,https://n.news.naver.com/article/214/0001354346?ntype=RANKING
